function,path,wrapper,declared_tier,has_resource_scope_check,has_permission_leaf_check,uses_service_client_directly,gaps
paymongo-webhook,supabase/functions/paymongo-webhook/index.ts,servePublic,"guest-anon",no,no,yes,""
platform-billing-cron,supabase/functions/platform-billing-cron/index.ts,serveCronPost,"cron (secret-gated)",no,no,no,""
platform-parking-settings,supabase/functions/platform-parking-settings/index.ts,serveSuperAdmin,"super-admin",yes,no,yes,""
platform-payment-settings,supabase/functions/platform-payment-settings/index.ts,serveSuperAdmin,"super-admin",yes,no,yes,""
platform-settings,supabase/functions/platform-settings/index.ts,serveSuperAdmin,"super-admin",yes,no,yes,""
preview-guest-stay-guide,supabase/functions/preview-guest-stay-guide/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
pricing-plans,supabase/functions/pricing-plans/index.ts,serveSuperAdmin,"super-admin",yes,no,yes,""
property-access,supabase/functions/property-access/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
property-entitlements,supabase/functions/property-entitlements/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
property-page-view,supabase/functions/property-page-view/index.ts,servePublic,"guest-anon",no,no,yes,"MISSING-resource-scope-check"
property-page-views-prune-cron,supabase/functions/property-page-views-prune-cron/index.ts,serveCronPost,"cron (secret-gated)",no,no,yes,""
property-pricing,supabase/functions/property-pricing/index.ts,serveAuthenticated,"org (authenticated user)",yes,yes,no,""
property-team-custom-roles,supabase/functions/property-team-custom-roles/index.ts,serveAuthenticated,"org (authenticated user)",yes,yes,no,""
property-team-invitations,supabase/functions/property-team-invitations/index.ts,serveAuthenticated,"org (authenticated user)",yes,yes,no,""
property-team-members,supabase/functions/property-team-members/index.ts,serveAuthenticated,"org (authenticated user)",yes,yes,no,""
property-templates-preview,supabase/functions/property-templates-preview/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
property-templates-settings,supabase/functions/property-templates-settings/index.ts,serveAuthenticated,"org (authenticated user)",yes,yes,no,""
public-page-configs,supabase/functions/public-page-configs/index.ts,serveAuthenticated,"org (authenticated user)",yes,yes,no,""
publish-to-meta,supabase/functions/publish-to-meta/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
push-fanout,supabase/functions/push-fanout/index.ts,servePublic,"guest-anon",no,no,yes,""
